Player ,matches,balls_faced,innings,runs,4s,6s,bat_average,bat_strike,balls_bowled,wickets,overs,runs_conceded,bowl_econ,catches
A Ashish Reddy,28,196,23,280,16,15,12.17,142.86,270,18,45,386,8.58,9
A Chandila,12,7,2,4,0,0,2,57.14,234,11,39,242,6.21,7
A Chopra,6,75,6,53,7,0,8.83,70.67,0,0,0,0,0,2
A Choudhary,5,20,3,25,1,1,8.33,125,108,5,17,137,8.06,0
A Dananjaya,1,5,1,4,0,0,4,80,25,0,4,46,11.5,0
A Flintoff,3,57,3,62,5,2,20.67,108.77,66,2,11,105,9.55,4
A Kumble,42,49,15,35,3,0,2.33,71.43,983,45,163,1027,6.3,10
A Mishra,150,410,54,362,29,5,6.7,88.29,3233,160,529,3788,7.16,21
A Mithun,16,26,6,34,4,1,5.67,130.77,312,7,48,448,9.33,7
A Mukund,2,23,2,19,1,0,9.5,82.61,0,0,0,0,0,3
A Nehra,88,63,17,41,3,1,2.41,65.08,1974,106,320,2422,7.57,19
A Nel,1,0,0,0,0,0,0,0,18,1,3,31,10.33,0
A Nortje,16,6,3,7,0,0,2.33,116.67,376,22,62,502,8.1,4
A Singh,23,10,5,2,0,0,0.4,20,486,28,80,603,7.54,1
A Symonds,36,781,36,974,74,41,27.06,124.71,540,20,88,656,7.45,21
A Uniyal,2,7,2,4,0,0,2,57.14,38,2,6,64,10.67,0
A Zampa,14,8,2,5,1,0,2.5,62.5,292,21,48,361,7.52,1
AA Bilakhia,7,88,7,69,5,0,9.86,78.41,0,0,0,0,0,1
AA Chavan,13,11,3,12,2,0,4,109.09,255,8,42,318,7.57,3
AA Jhunjhunwala,19,218,15,217,19,5,14.47,99.54,88,1,15,126,8.4,10
AA Kazi,1,0,0,0,0,0,0,0,13,0,2,20,10,0
AA Noffke,1,12,1,9,1,0,9,75,25,1,4,35,8.75,0
AB Agarkar,42,160,18,179,13,5,9.94,111.87,820,29,131,1112,8.49,5
AB Barath,3,43,3,42,5,1,14,97.67,0,0,0,0,0,0
AB Dinda,76,50,16,26,2,0,1.62,52,1589,69,255,1987,7.79,7
AB McDonald,10,103,9,123,9,4,13.67,119.42,188,11,31,259,8.35,0
AB de Villiers,156,3264,156,4849,390,235,31.08,148.56,0,0,0,0,0,103
AB de Villiers (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,2
AC Blizzard,7,91,7,120,21,2,17.14,131.87,0,0,0,0,0,4
AC Gilchrist,80,1555,80,2069,239,92,25.86,133.05,1,1,1,0,0,51
AC Thomas,15,19,4,20,1,1,5,105.26,327,14,53,394,7.43,3
AC Voges,8,143,7,181,15,3,25.86,126.57,56,0,9,74,8.22,1
AD Hales,6,119,6,148,13,6,24.67,124.37,0,0,0,0,0,2
AD Mascarenhas,13,79,11,79,5,1,7.18,100,310,19,52,353,6.79,3
AD Mathews,46,599,41,724,44,29,17.66,120.87,807,27,133,1054,7.92,19
AD Nath,10,99,10,90,7,2,9,90.91,0,0,0,0,0,2
AD Russell,72,882,61,1517,105,129,24.87,172,1186,61,193,1667,8.64,23
AF Milne,5,12,3,7,0,0,2.33,58.33,115,4,18,166,9.22,5
AG Murtaza,12,14,3,10,1,0,3.33,71.43,269,9,44,304,6.91,3
AG Paunikar,5,61,5,49,9,0,9.8,80.33,0,0,0,0,0,1
AJ Finch,85,1622,85,2005,204,75,23.59,123.61,44,1,8,66,8.25,27
AJ Turner,4,11,4,3,0,0,0.75,27.27,0,0,0,0,0,0
AJ Tye,27,79,13,91,6,5,7,115.19,645,40,103,845,8.2,7
AL Menaria,25,367,23,401,24,18,17.43,109.26,113,3,19,140,7.37,5
AM Nayar,51,588,50,672,55,20,13.44,114.29,239,9,39,311,7.97,13
AM Rahane,140,3325,140,3933,416,76,28.09,118.29,6,1,1,5,5,58
AM Rahane (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,2
AM Salvi,7,0,0,0,0,0,0,0,156,7,25,190,7.6,2
AN Ahmed,17,27,6,36,4,1,6,133.33,362,12,58,467,8.05,2
AN Ghosh,2,8,2,7,1,0,3.5,87.5,0,0,0,0,0,1
AP Dole,3,23,2,34,3,1,17,147.83,73,5,11,105,9.55,2
AP Majumdar,4,77,4,87,7,2,21.75,112.99,0,0,0,0,0,0
AP Tare,28,285,27,339,40,11,12.56,118.95,0,0,0,0,0,3
AR Bawne,1,12,1,12,1,0,12,100,0,0,0,0,0,0
AR Patel,97,745,71,913,53,43,12.86,122.55,2053,80,337,2417,7.17,40
AR Patel (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,2
AS Joseph,3,13,1,15,2,0,15,115.38,55,6,9,84,9.33,1
AS Rajpoot,29,41,7,26,2,1,3.71,63.41,567,24,89,772,8.67,4
AS Raut,17,172,16,194,13,7,12.12,112.79,30,0,5,44,8.8,9
AS Raut (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
AS Roy,1,0,0,0,0,0,0,0,15,1,2,8,4,0
AS Roy (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,2
AS Yadav,6,40,6,49,5,2,8.17,122.5,0,0,0,0,0,1
AT Carey,3,29,3,32,0,1,10.67,110.34,0,0,0,0,0,2
AT Rayudu,151,2970,149,3659,308,132,24.56,123.2,0,0,0,0,0,56
AUK Pathan,7,26,7,39,5,2,5.57,150,41,0,7,57,8.14,2
AV Wankhade (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Abdul Samad,8,66,7,111,8,6,15.86,168.18,43,1,7,91,13,5
Abdur Razzak,1,2,1,0,0,0,0,0,14,0,2,23,11.5,0
Abhishek Sharma,14,104,13,143,10,8,11,137.5,74,3,12,109,9.08,3
Anand Rajan,8,0,0,0,0,0,0,0,162,8,25,188,7.52,3
Anirudh Singh,4,69,4,63,6,1,15.75,91.3,0,0,0,0,0,3
Ankit Sharma,21,69,10,87,7,4,8.7,126.09,375,12,62,436,7.03,4
Ankit Soni,6,9,3,7,0,1,2.33,77.78,112,2,19,141,7.42,1
Anmolpreet Singh (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anureet Singh,22,47,8,36,2,1,4.5,76.6,430,18,69,601,8.71,5
Arshdeep Singh,11,3,1,0,0,0,0,0,223,12,35,312,8.91,2
Avesh Khan,9,3,1,4,1,0,4,133.33,185,5,30,294,9.8,4
Azhar Mahmood,23,311,21,388,39,13,18.48,124.76,552,29,91,681,7.48,8
B Akhil,15,57,11,76,5,5,6.91,133.33,193,6,32,235,7.34,3
B Aparajith (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
B Chipli,21,256,21,280,28,7,13.33,109.38,6,0,1,20,20,3
B Chipli (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
B Geeves,2,0,0,0,0,0,0,0,49,1,8,90,11.25,3
B Kumar,121,199,42,183,17,3,4.36,91.96,2795,136,454,3132,6.9,27
B Laughlin,9,13,4,5,0,0,1.25,38.46,179,10,28,271,9.68,1
B Lee,38,102,19,124,8,8,6.53,121.57,916,25,147,1042,7.09,10
B Stanlake,6,2,1,5,1,0,5,250,150,7,24,194,8.08,1
B Sumanth,4,38,4,35,3,0,8.75,92.11,0,0,0,0,0,4
BA Bhatt,15,7,2,6,0,1,3,85.71,303,12,50,389,7.78,1
BA Stokes,42,700,40,920,79,32,23,131.43,711,28,113,926,8.19,20
BAW Mendis,10,6,3,3,0,0,1,50,244,8,40,277,6.92,2
BB McCullum,109,2267,109,2880,293,130,26.42,127.04,0,0,0,0,0,37
BB McCullum (sub),0,0,0,0,0,0,0,0,0,0,0,0,0,1
BB Samantray,8,116,8,125,13,2,15.62,107.76,0,0,0,0,0,3
BB Sran,24,14,7,10,0,0,1.43,71.43,516,18,81,718,8.86,4
BCJ Cutting,21,146,17,238,15,19,14,163.01,288,10,48,422,8.79,10
BE Hendricks,7,3,2,1,0,0,0.5,33.33,157,9,25,224,8.96,3
BJ Haddin,1,11,1,18,2,1,18,163.64,0,0,0,0,0,0
BJ Hodge,63,1153,63,1400,122,43,22.22,121.42,238,17,39,294,7.54,22
BJ Rohrer,8,145,8,193,21,5,24.12,133.1,7,0,1,11,11,3
